Date,AAPL,BA,BAC,CAT,CRM,FB,ICLN,MSFT,NVDA,SKYY,TAN,TSLA
5/25/2016,0.017416399,0.010610171,0.016216194,0.020604873,0.009860586,0.001612993,0.003454118,0.010220877,-0.004197644,0.012426695,0.001359046,0.007634489
5/26/2016,0.007898917,0.00348612,-0.014855065,-0.006774814,-0.002636009,0.013313323,-0.001150007,-0.004422658,0.010570411,0.000974488,-0.0054473,0.024916916
5/27/2016,-0.000597955,-0.000696214,0.012170467,-0.001666153,0.005026317,-0.000753644,-0.003458099,0.008252574,0.005461574,0.004858245,-0.000455378,-0.009282389
5/31/2016,-0.004894772,-0.02404463,-0.006066506,0.007613922,-0.000716474,-0.004786102,0.006904525,0.012913139,0.017707344,0.004191513,0.002274443,0.000851462
6/1/2016,-0.014118759,0.002058893,0.008108084,-0.003315397,-0.00311082,-0.000252526,0.019307799,-0.002834231,0.001924456,0.000964773,0.004080653,-0.016577113
6/2/2016,-0.007544163,0.003474607,0.005369142,0.018507834,-0.002519638,0.001262055,0.004489392,-0.007025375,0.007025124,0.003849935,-0.005444642,-0.002736455
6/3/2016,0.002044514,0.004169473,-0.035426059,0.019104539,-0.008323769,-0.003875313,-0.002242356,-0.013235298,-0.01409995,-0.006424629,-0.020685616,0.000137014
6/6/2016,0.007224576,0.034869397,0.006910988,0.018223155,0.003386129,0.002697462,0.017797973,0.006543683,-0.005176782,0.006104273,0.014295902,0.00768765
6/7/2016,0.004047493,0.000227282,-0.011777088,0.005090015,0.00373559,-0.008708563,0.005497802,-0.000575609,0.001944414,0.007340055,0.005934637,0.05148806
6/8/2016,-0.000909162,0.008077737,0.005559215,0.016783601,0.002522664,0.005335581,0,-0.00115245,-0.003242934,0.001271139,0.007256306,0.013594054
6/9/2016,0.007150279,0.00075169,-0.016771816,-0.012237014,-0.007466257,0.001434887,-0.011025525,-0.008103514,0.025653611,-0.002543833,-0.021466824,-0.02650298
6/10/2016,-0.008262857,-0.01483557,-0.025697204,-0.014753347,-0.010938387,-0.016498332,-0.043041589,-0.002715776,-0.025220611,-0.01831365,-0.047751938,-0.047180505
6/13/2016,-0.01519131,-0.009346233,-0.016770415,-0.010577744,-0.00416366,-0.02316108,-0.029362207,-0.026374344,0.012689938,-0.009120634,-0.025007499,-0.004213768
6/14/2016,0.001232082,0.004454283,-0.025317855,-0.004930428,-0.004920683,0.008650545,-0.010785085,-0.006201682,0.001921415,-0.001637337,-0.003481627,-0.013446607
6/15/2016,-0.003288708,-0.002608842,0.00601498,0.00280134,0.011037659,-0.002962483,0.004807688,-0.002813553,0.010186882,0.002291586,-0.000997143,0.012666011
6/16/2016,0.00421192,-0.006088067,-0.002251389,-0.001066246,-0.004277932,-0.001834134,0.010733635,0.013989183,0.004003764,-0.001963904,-0.000998035,0.001055887
6/17/2016,-0.023020363,0.003472659,0.006739175,0.012457135,-0.014062146,-0.012048893,0.005913707,-0.005173313,-0.017609327,-0.003610742,0.015849846,-0.011352147
6/20/2016,-0.002415561,0.022318568,0.010393294,0.00656315,0.008904353,0.003092066,0.030199559,-0.001197437,0.017819857,0.01468928,0.016086234,0.019441218
6/21/2016,0.008481084,-0.009308764,0.00589119,0.000785042,0.005035271,0.008869384,-0.004556172,0.022122128,-0.006116216,0.001295488,-0.004847369,-0.000409682
6/22/2016,-0.003760645,0.001899281,-0.000734504,-0.000785042,-0.012450016,-0.004117519,0,-0.003914626,-0.000846817,-0.007742651,-0.008784901,-0.110376898
6/23/2016,0.005739611,0.013417938,0.031105577,0.023150539,0.020381258,0.01021886,0.023149015,0.017881829,0.026328532,0.018443993,0.021819025,-0.001323003
6/24/2016,-0.028497852,-0.054075739,-0.076960916,-0.068655377,-0.047539121,-0.026414636,-0.052860118,-0.040894212,-0.058603409,-0.051647742,-0.048646176,-0.016686248
6/27/2016,-0.014668015,-0.030657977,-0.065154074,-0.022852506,-0.030934964,-0.028140292,-0.015805845,-0.028497803,-0.010772672,-0.035042946,-0.027566947,0.027573818
6/28/2016,0.016700283,0.009651639,0.041806826,0.015844609,0.019268964,0.033656768,0.044345341,0.020640305,0.01448338,0.017331274,0.035591001,0.016186661
6/29/2016,0.008617418,0.024714384,0.037856921,0.023306292,0.018524923,0.012871611,0.016279251,0.022005193,0.016207916,0.019735332,0.030499199,0.040784246
6/30/2016,0.012631818,0.022425663,0.006046647,0.021061457,0.005176499,0.001050561,0.012607676,0.012388484,0.007687424,0.010057125,0.015384703,0.009894347
7/1/2016,0.003028923,-0.001387031,-0.012893485,0.008406658,0.005275046,-0.000787818,0,-0.000195593,-0.007473332,0.00366239,0.001906834,0.019684342
7/5/2016,-0.009430238,-0.021196131,-0.027865508,-0.027449821,-0.014637532,8.75E-05,-0.008004589,0.000195593,0.014679562,-0.008343157,-0.018260929,-0.011707944
7/6/2016,0.005668808,-7.88E-05,0.009374909,0.006031953,-0.00216324,0.021655243,0.006865085,0.004095596,0.006315966,0.007345594,0.024905384,0.002147404
7/7/2016,0.004282498,0.001652691,0.011596639,0.002935672,0.003306656,-0.007310275,-0.006865085,0,0.025690306,0.001662096,-0.008074092,0.006970595
7/8/2016,0.007683681,0.022701789,0.012223387,0.030444726,0.026684919,0.01192686,0.023824073,0.017747217,0.039307162,0.021032526,0.022165497,0.003882406
7/11/2016,0.00309796,0.014878437,0.003032524,0.00554234,0.009474131,0.005359248,0.012256594,0.005529848,0.022748327,0.002922595,0.014355389,0.036239183
